"","phon","start","end","word"
"64","sp",8.553,8.673,"sp"
"65","DH",8.673,8.734,"THE"
"66","AH0",8.734,8.773,"THE"
"67","W",8.773,8.883,"WORD"
"68","ER1",8.883,8.924,"WORD"
"69","D",8.924,8.943,"WORD"
"70","IH1",8.943,8.984,"IS"
"71","Z",8.984,9.084,"IS"
"72","B",9.084,9.154,"BIN"
"73","IH1",9.154,9.283,"BIN"
"74","N",9.283,9.533,"BIN"
"75","sp",9.533,9.934,"sp"
"76","HH",9.934,10.053,"WHO'D"
"77","UW1",10.053,10.203,"WHO'D"
"78","D",10.203,10.394,"WHO'D"
"79","sp",10.394,10.494,"sp"
"80","DH",10.494,10.543,"THE"
"81","AH0",10.543,10.584,"THE"
"82","W",10.584,10.693,"WORD"
"83","ER1",10.693,10.814,"WORD"
"84","D",10.814,10.834,"WORD"
"85","AH0",10.834,10.863,"IS"
"86","Z",10.863,10.904,"IS"
"87","HH",10.904,10.953,"WHO'D"
"88","UW1",10.953,11.123,"WHO'D"
"89","D",11.123,11.424,"WHO'D"
"90","sp",11.424,11.814,"sp"
"91","HH",11.814,11.904,"HOOD"
"92","UH1",11.904,12.144,"HOOD"
"93","D",12.144,12.303,"HOOD"
"94","sp",12.303,12.383,"sp"
"95","DH",12.383,12.424,"THE"
"96","AH0",12.424,12.463,"THE"
"97","W",12.463,12.584,"WORD"
"98","ER1",12.584,12.623,"WORD"
"99","D",12.623,12.644,"WORD"
"100","IH1",12.644,12.703,"IS"
"101","Z",12.703,12.783,"IS"
"102","HH",12.783,12.854,"HOOD"
"103","UH1",12.854,13.004,"HOOD"
"104","D",13.004,13.023,"HOOD"
"105","sp",13.023,13.613,"sp"
"106","B",13.613,13.654,"BANE"
"107","EY1",13.654,13.863,"BANE"
"108","N",13.863,13.934,"BANE"
"109","DH",13.934,14.174,"THE"
"110","AH0",14.174,14.203,"THE"
"111","W",14.203,14.293,"WORD"
"112","ER1",14.293,14.334,"WORD"
"113","D",14.334,14.354,"WORD"
"114","AH0",14.354,14.383,"IS"
"115","Z",14.383,14.494,"IS"
"116","B",14.494,14.574,"BANE"
"117","EY1",14.574,14.793,"BANE"
"118","N",14.793,14.953,"BANE"
"119","sp",14.953,15.443,"sp"
"120","B",15.443,15.494,"BAY'D"
"121","EY1",15.494,15.724,"BAY'D"
"122","D",15.724,15.873,"BAY'D"
"123","sp",15.873,16.004,"sp"
"124","DH",16.004,16.053,"THE"
"125","AH0",16.053,16.094,"THE"
"126","W",16.094,16.193,"WORD"
"127","ER1",16.193,16.234,"WORD"
"128","D",16.234,16.254,"WORD"
"129","IH1",16.254,16.334,"IS"
"130","Z",16.334,16.383,"IS"
"131","B",16.383,16.463,"BAY'D"
"132","EY1",16.463,16.693,"BAY'D"
"133","D",16.693,16.864,"BAY'D"
"134","sp",16.864,17.514,"sp"
"135","HH",17.514,17.614,"HID"
"136","IH1",17.614,17.774,"HID"
"137","D",17.774,17.874,"HID"
"138","sp",17.874,18.084,"sp"
"139","DH",18.084,18.154,"THE"
"140","AH0",18.154,18.204,"THE"
"141","W",18.204,18.314,"WORD"
"142","ER1",18.314,18.354,"WORD"
"143","D",18.354,18.374,"WORD"
